"ID","Name","Commissioner","Manager","Rank","Playoff Seed","Wins","Losses","Ties","Image"
"406.l.12360.t.1","Hayley Westenra Is A Goddess","False","--hidden--","7","7","6","9","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_1_h.png"
"406.l.12360.t.2","Stumpy's Bucks","False","--hidden--","10","","2","13","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_8_s.png"
"406.l.12360.t.3","Dolphins","False","--hidden--","5","8","6","9","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_11.png"
"406.l.12360.t.4","jared's Team","False","--hidden--","8","5","8","7","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_2_j.png"
"406.l.12360.t.5","Cody's Cool Team","False","--hidden--","1","4","9","6","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_c.png"
"406.l.12360.t.6","Nicolas's Neat Team","False","--hidden--","6","6","7","8","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_10_n.png"
"406.l.12360.t.7","GigaBreath","False","--hidden--","3","3","10","5","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24705859743_1551139655.jpg"
"406.l.12360.t.8","brady's World-Class Team","False","--hidden--","9","","5","10","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_9_b.png"
"406.l.12360.t.9","Kingo's Agreeable Team","False","--hidden--","2","2","10","5","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_5_k.png"
"406.l.12360.t.10","King Norris","False","--hidden--","4","1","12","3","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4_t.png"
